"Type","Title","Url","Action","Reason","Timestamp"
"File","1400 Determination of Materiality.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/1400 Determination of Materiality.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","1605 Common Documentation for Groups or Related Entities.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/1605 Common Documentation for Groups or Related Entities.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","7700 Hedging Activities Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/May 2024 Release/7700 Hedging Activities Audit Program.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","9062 HC Financial Statement Review Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2024 Release/9062 HC Financial Statement Review Procedures.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","0110 - Letter and Report Tailoring Checklist.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2023 CW Content Orb Template Redlines/August 2024 Release/0110 - Letter and Report Tailoring Checklist.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Appendix 5.2 - Other Auditor Completion Confirmation.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/Appendix 5.2 - Other Auditor Completion Confirmation.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Appendix 1.6 - Acknowledgement of Receipt.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/Appendix 1.6 - Acknowledgement of Receipt.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","6350 SEC Defined Benefits Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/6350 SEC Defined Benefits Audit Program.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/ARCHIVES 2526 CW Content Redlines/08-2025 Release/6200 SEC FSR Accounts Payable and Accrued Expenses Audit Program.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Project Plan_Audit Systems 23.00 Upgrade.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Audit Systems 2200 Project Documents/Project Plan_Audit Systems 23.00 Upgrade.xlsx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","L 1011 SEC Demo Video.mp4","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Automated Communications/Pre-Pilot and Pilot Materials/L 1011 SEC Demo Video.mp4","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","L 1011 SEC Pilot Instructions.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Automated Communications/Pre-Pilot and Pilot Materials/L 1011 SEC Pilot Instructions.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Audit Arrangement Letter Template.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Template Archive/Audit Arrangement Letter Template.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","UAT Instructions - August 2024.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Contract Express Bugs/UAT Instructions - August 2024.xlsx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","FI MAPS to ORB Conversion Tracker.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/FI/FI MAPS to ORB Conversion Tracker.xlsx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","05-2022 AIS SOC Final B1.0.0 WP2020 Audit23.cwp","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gen/Release/05-2022 AIS SOC Final B1.0.0 WP2020 Audit23.cwp","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","3315 GOV Significant Accounts by Opinion Unit.rtf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Gov/Redlines/3315 GOV Significant Accounts by Opinion Unit.rtf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","9062 HC Financial Statement Review Procedures.docx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/HC/Redlines/9062 HC Financial Statement Review Procedures.docx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","2_.000","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Lists/Links/2_.000","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","4_.000","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Lists/Links/4_.000","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"List/Library","QA Doc Library","/sites/IWS_AS_AuditWPsAdmin/WPsContent/QA Doc Library","Skipped","In excluded library","2025-12-17 00:21:49"
"File","CoA RSM US - FI.xlsx","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Luca WP Documents/CoA RSM US - FI.xlsx","Would Reset","Dry-run mode","2025-12-17 00:21:49"
"File","Terminal Server Setup and Operations Instructions.pdf","/sites/IWS_AS_AuditWPsAdmin/WPsContent/Documents/UAT for Prior Releases/Outdated Instructions/Terminal Server Setup and Operations Instructions.pdf","Would Reset","Dry-run mode","2025-12-17 00:21:49"
